Time,Pure Signal,Noisy Signal,Kalman Filter,Complementary Filter,Hybrid Filter,Moving Average Filter
0.375000,-1.000000,-0.510501,0.146746,-0.368271,-0.007759,-0.938169
0.380000,-0.998027,-0.847657,0.131438,-0.392240,-0.025665,-0.921823
0.385000,-0.992115,-0.878990,0.116022,-0.416577,-0.043758,-0.964148
0.390000,-0.982287,-1.219084,0.095828,-0.456703,-0.069931,-0.899693
0.395000,-0.968583,-0.814648,0.082173,-0.474600,-0.084859,-0.877103
0.400000,-0.951057,-1.015456,0.065849,-0.501643,-0.104399,-0.813218
0.405000,-0.929776,-1.011513,0.049956,-0.527136,-0.123172,-0.796708
0.410000,-0.904827,-0.352373,0.044068,-0.518398,-0.124672,-0.748772
0.415000,-0.876307,-0.400461,0.037614,-0.512501,-0.127421,-0.751865
0.420000,-0.844328,-0.763419,0.026071,-0.525047,-0.139264,-0.752723
0.425000,-0.809017,-0.883531,0.013062,-0.542971,-0.153748,-0.717705
0.430000,-0.770513,-0.836301,0.001003,-0.557638,-0.166589,-0.721725
0.435000,-0.728969,-1.021462,-0.013410,-0.580829,-0.183636,-0.697058
0.440000,-0.684547,-0.766387,-0.023950,-0.590107,-0.193797,-0.661231
0.445000,-0.637424,-0.380515,-0.028906,-0.579627,-0.194123,-0.533808
0.450000,-0.587785,-0.227795,-0.031653,-0.562036,-0.190768,-0.464057
0.455000,-0.535827,-0.512624,-0.038250,-0.559565,-0.194645,-0.320016
0.460000,-0.481754,0.008426,-0.037614,-0.531166,-0.185680,-0.257922
0.465000,-0.425779,-0.348044,-0.041818,-0.522010,-0.185876,-0.209224
0.470000,-0.368125,-0.013172,-0.041433,-0.496568,-0.177973,-0.213912
0.475000,-0.309017,-0.331727,-0.045316,-0.488326,-0.178219,-0.146553
0.480000,-0.248690,-0.039632,-0.045241,-0.465891,-0.171436,-0.146735
0.485000,-0.187381,-0.260614,-0.048088,-0.455627,-0.170350,-0.063824
0.490000,-0.125333,-0.041110,-0.047997,-0.434901,-0.164068,-0.031786
0.495000,-0.062791,0.007157,-0.047275,-0.412798,-0.156932,0.061706
0.500000,-0.000000,0.232330,-0.043640,-0.380542,-0.144711,-0.127579
0.505000,0.062791,0.211091,-0.040346,-0.350960,-0.133530,-0.047158
0.510000,0.125333,0.322720,-0.035675,-0.317276,-0.120155,0.068990
0.515000,0.187381,-1.364628,-0.052684,-0.369644,-0.147772,0.159872
0.520000,0.248690,0.302333,-0.048163,-0.336045,-0.134528,0.170654
0.525000,0.309017,0.771924,-0.037771,-0.280647,-0.110634,0.230312
0.530000,0.368125,0.643331,-0.029182,-0.234448,-0.090761,0.269802
0.535000,0.425779,0.307808,-0.024952,-0.207335,-0.079667,0.598028
0.540000,0.481754,0.628693,-0.016786,-0.165533,-0.061410,0.695393
0.545000,0.535827,0.599151,-0.009125,-0.127299,-0.044577,0.701600
0.550000,0.587785,0.932959,0.002539,-0.074286,-0.020508,0.752378
0.555000,0.637424,0.983884,0.014637,-0.021378,0.003833,0.850145
0.560000,0.684547,0.815374,0.024466,0.020460,0.023264,0.866912
0.565000,0.728969,0.998779,0.036376,0.069376,0.046276,0.969550
0.570000,0.770513,0.992175,0.048012,0.115516,0.068263,0.962222
0.575000,0.809017,0.746060,0.056476,0.147043,0.083646,0.926961
0.580000,0.844328,1.317622,0.071707,0.205572,0.111866,0.909552
0.585000,0.876307,0.881661,0.081451,0.239376,0.128829,0.980797
0.590000,0.904827,0.737054,0.089309,0.264260,0.141794,0.960708
0.595000,0.929776,0.693510,0.096524,0.285723,0.153284,0.969481
0.600000,0.951057,1.497500,0.113193,0.346312,0.183128,0.986951
0.605000,0.968583,0.851549,0.121946,0.371573,0.196834,1.008959
0.610000,0.982287,0.807468,0.130045,0.393368,0.209042,1.093237
0.615000,0.992115,1.439916,0.145468,0.445696,0.235536,1.120992
0.620000,0.998027,1.035715,0.155915,0.475197,0.251699,1.064314
0.625000,1.000000,1.326998,0.169612,0.517787,0.274065,1.123002
0.630000,0.998027,0.887796,0.177985,0.536287,0.285476,1.266378
0.635000,0.992115,1.100755,0.188710,0.564511,0.301450,1.172551
0.640000,0.982287,1.262367,0.201150,0.599403,0.320626,1.187473
0.645000,0.968583,1.811100,0.219747,0.659988,0.351819,1.085228
0.650000,0.951057,0.783124,0.226235,0.666145,0.358208,1.130174
0.655000,0.929776,1.140169,0.236731,0.689846,0.372665,1.074398
0.660000,0.904827,0.611282,0.241020,0.685918,0.374489,1.027499
0.665000,0.876307,1.202421,0.251998,0.711743,0.389922,0.845519
0.670000,0.844328,0.710323,0.257218,0.711672,0.393554,0.865440
0.675000,0.809017,0.934071,0.264905,0.722792,0.402271,0.820567
0.680000,0.770513,0.537244,0.267990,0.713515,0.401647,0.883163
0.685000,0.728969,0.922569,0.275386,0.723967,0.409960,0.825762
0.690000,0.684547,0.826062,0.281592,0.729072,0.415836,0.828623
0.695000,0.637424,1.049448,0.290225,0.745091,0.426684,0.828503
0.700000,0.587785,0.800620,0.295949,0.747867,0.431524,0.775284
0.705000,0.535827,0.730349,0.300809,0.746991,0.434664,0.730835
0.710000,0.481754,0.933230,0.307868,0.756303,0.442399,0.663264
0.715000,0.425779,0.164711,0.306274,0.726724,0.432409,0.585254
0.720000,0.368125,0.611423,0.309665,0.720959,0.433053,0.490942
0.725000,0.309017,0.353066,0.310146,0.702564,0.427872,0.427284
0.730000,0.248690,0.503379,0.312284,0.692605,0.426380,0.243510
0.735000,0.187381,0.140439,0.310387,0.664997,0.416770,0.145124
0.740000,0.125333,0.284739,0.310104,0.645984,0.410868,0.015252
0.745000,0.062791,-0.353189,0.302811,0.596025,0.390775,-0.036626
0.750000,0.000000,-0.523986,0.293737,0.540024,0.367624,-0.178621
0.755000,-0.062791,-0.297685,0.287260,0.498139,0.350523,-0.233394
0.760000,-0.125333,-0.010081,0.284009,0.472728,0.340625,-0.347062
0.765000,-0.187381,-0.490585,0.275557,0.424562,0.320259,-0.312659
0.770000,-0.248690,-0.242969,0.269910,0.391186,0.306292,-0.317892
0.775000,-0.309017,-0.510937,0.261420,0.346080,0.286818,-0.355188
0.780000,-0.368125,-0.112372,0.257363,0.323157,0.277101,-0.432113
0.785000,-0.425779,-0.560611,0.248501,0.278969,0.257641,-0.440789
0.790000,-0.481754,-0.558764,0.239769,0.237082,0.238963,-0.499743
0.795000,-0.535827,-0.548552,0.231257,0.197800,0.221220,-0.484453
0.800000,-0.587785,-0.551319,0.222820,0.160344,0.204077,-0.639717
0.805000,-0.637424,-0.655648,0.213365,0.119545,0.185219,-0.566543
0.810000,-0.684547,-0.403906,0.206731,0.093372,0.172723,-0.519474
0.815000,-0.728969,-1.199216,0.191644,0.028743,0.142774,-0.574449
0.820000,-0.770513,-0.048395,0.189072,0.024886,0.139817,-0.576382
0.825000,-0.809017,-0.229282,0.184597,0.012177,0.132871,-0.575919
0.830000,-0.844328,-0.933377,0.172653,-0.035100,0.110327,-0.652839
0.835000,-0.876307,-0.564852,0.164785,-0.061588,0.096873,-0.555119
0.840000,-0.904827,-0.652404,0.156079,-0.091129,0.081917,-0.729719
0.845000,-0.929776,-0.942348,0.144392,-0.133690,0.060968,-0.889498
0.850000,-0.951057,-0.515174,0.137384,-0.152764,0.050340,-0.976257
0.855000,-0.968583,-1.270599,0.122444,-0.208656,0.023114,-1.039184
0.860000,-0.982287,-1.347730,0.106863,-0.265609,-0.004878,-1.108880
0.865000,-0.992115,-1.540695,0.089425,-0.329364,-0.036212,-1.142536
